Timestamp,Cell,SHIP_TYPE=35,Value,SHIP_TYPE=60-69,Value,SHIP_TYPE=70-79,Value,SHIP_TYPE=others,Value
2015/04/07,D6,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.21428572,SHIP_TYPE=others,0.21428572
2015/04/07,G14,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.035714287
2015/04/07,D12,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.25,SHIP_TYPE=others,0.035714287
2015/04/07,D4,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.071428575,SHIP_TYPE=70-79,0.60714287,SHIP_TYPE=others,0.85714287
2015/04/07,G8,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.96428573,SHIP_TYPE=70-79,1.1785715,SHIP_TYPE=others,1.0357143
2015/04/07,F12,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.10714286,SHIP_TYPE=70-79,0.5,SHIP_TYPE=others,0.21428572
2015/04/07,G12,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.14285715,SHIP_TYPE=others,0.035714287
2015/04/07,G13,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.071428575,SHIP_TYPE=others,0.0
2015/04/07,F11,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.14285715,SHIP_TYPE=70-79,0.4642857,SHIP_TYPE=others,0.21428572
2015/04/07,H13,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.17857143,SHIP_TYPE=others,0.10714286
2015/04/07,H14,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.14285715,SHIP_TYPE=others,0.14285715
2015/04/07,E6,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.14285715,SHIP_TYPE=70-79,0.5,SHIP_TYPE=others,0.89285713
2015/04/07,F14,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.4642857,SHIP_TYPE=others,0.2857143
2015/04/07,H15,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.6785714,SHIP_TYPE=others,0.10714286
2015/04/07,D8,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.21428572,SHIP_TYPE=others,0.14285715
2015/04/07,F15,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.53571427,SHIP_TYPE=others,0.25
2015/04/07,H16,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.6785714,SHIP_TYPE=others,0.14285715
2015/04/07,D9,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.17857143,SHIP_TYPE=others,0.10714286
2015/04/07,G15,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.10714286,SHIP_TYPE=others,0.035714287
2015/04/07,I10,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.14285715,SHIP_TYPE=70-79,0.4642857,SHIP_TYPE=others,0.14285715
2015/04/07,I15,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.071428575,SHIP_TYPE=70-79,1.3928572,SHIP_TYPE=others,0.60714287
2015/04/07,I11,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.32142857,SHIP_TYPE=70-79,1.2142857,SHIP_TYPE=others,0.4642857
2015/04/07,J15,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.85714287,SHIP_TYPE=others,0.21428572
2015/04/07,J14,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.17857143,SHIP_TYPE=70-79,1.7142857,SHIP_TYPE=others,1.4285715
2015/04/07,I13,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.35714287,SHIP_TYPE=70-79,0.8214286,SHIP_TYPE=others,0.64285713
2015/04/07,H9,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.5,SHIP_TYPE=70-79,0.9285714,SHIP_TYPE=others,0.42857143
2015/04/07,I12,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.2857143,SHIP_TYPE=70-79,1.0357143,SHIP_TYPE=others,0.4642857
2015/04/07,H12,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.32142857,SHIP_TYPE=others,0.35714287
2015/04/07,H11,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.17857143,SHIP_TYPE=70-79,0.4642857,SHIP_TYPE=others,0.32142857
2015/04/07,H10,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.42857143,SHIP_TYPE=70-79,0.96428573,SHIP_TYPE=others,0.35714287
2015/04/07,F6,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.4642857,SHIP_TYPE=70-79,1.3214285,SHIP_TYPE=others,0.6785714
2015/04/07,E10,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.14285715,SHIP_TYPE=others,0.14285715
2015/04/07,E8,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.17857143
2015/04/07,D7,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.17857143,SHIP_TYPE=others,0.25
2015/04/07,C1,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.071428575,SHIP_TYPE=others,0.60714287
2015/04/07,E17,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.17857143,SHIP_TYPE=70-79,1.0357143,SHIP_TYPE=others,0.60714287
2015/04/07,E7,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.17857143,SHIP_TYPE=70-79,0.071428575,SHIP_TYPE=others,0.4642857
2015/04/07,F16,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.25,SHIP_TYPE=others,0.25
2015/04/07,H8,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,1.0,SHIP_TYPE=70-79,1.6785715,SHIP_TYPE=others,1.0
2015/04/07,G9,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.35714287,SHIP_TYPE=70-79,0.42857143,SHIP_TYPE=others,0.5
2015/04/07,E11,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.10714286,SHIP_TYPE=70-79,0.17857143,SHIP_TYPE=others,0.25
2015/04/07,E12,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.10714286,SHIP_TYPE=70-79,0.32142857,SHIP_TYPE=others,0.2857143
2015/04/07,G7,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.10714286,SHIP_TYPE=70-79,1.2142857,SHIP_TYPE=others,0.71428573
2015/04/07,F7,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.53571427,SHIP_TYPE=70-79,1.0357143,SHIP_TYPE=others,0.6785714
2015/04/07,E13,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.10714286,SHIP_TYPE=70-79,0.42857143,SHIP_TYPE=others,0.2857143
2015/04/07,E14,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.14285715,SHIP_TYPE=70-79,0.53571427,SHIP_TYPE=others,0.6785714
2015/04/07,F8,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,1.2142857,SHIP_TYPE=70-79,0.60714287,SHIP_TYPE=others,1.5357143
2015/04/07,E15,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.14285715,SHIP_TYPE=70-79,0.6785714,SHIP_TYPE=others,0.5714286
2015/04/07,E16,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.14285715,SHIP_TYPE=70-79,0.89285713,SHIP_TYPE=others,0.60714287
